timestamp,est_time,market,side,type,entry_price,exit_price,qty,pnl,exit_reason,filter_reason
2026-03-11 21:13:58,09:13:58 PM,"Bitcoin Up or Down - March 11, 9:10PM-9:15PM ET",Down,real,0.78,0.94,25.0,4.0,tp,
2026-03-11 21:19:10,09:19:10 PM,"Bitcoin Up or Down - March 11, 9:15PM-9:20PM ET",Up,real,0.71,0.94,28.0,6.44,tp,
2026-03-11 21:24:44,09:24:44 PM,"Bitcoin Up or Down - March 11, 9:20PM-9:25PM ET",Down,real,0.8,0.94,25.0,3.5,tp,
2026-03-11 21:29:53,09:29:53 PM,"Bitcoin Up or Down - March 11, 9:25PM-9:30PM ET",Up,real,0.74,0.05,27.0,-18.63,sl,
2026-03-11 21:33:08,09:33:08 PM,"Bitcoin Up or Down - March 11, 9:30PM-9:35PM ET",Up,real,0.73,0.24,27.0,-13.23,sl,
2026-03-11 21:39:31,09:39:31 PM,"Bitcoin Up or Down - March 11, 9:35PM-9:40PM ET",Up,real,0.8,0.94,25.0,3.5,tp,
2026-03-11 21:42:14,09:42:14 PM,"Bitcoin Up or Down - March 11, 9:40PM-9:45PM ET",Up,real,0.89,0.94,22.0,1.1,tp,
2026-03-11 21:44:53,09:44:53 PM,"Bitcoin Up or Down - March 11, 9:40PM-9:45PM ET",Up,phantom-no_leader,0.5,0.99,40,19.6,phantom-win,no_leader
2026-03-11 21:44:59,09:44:59 PM,"Bitcoin Up or Down - March 11, 9:40PM-9:45PM ET",Up,phantom-no_leader,0.5,1.0,40,20.0,phantom-win,no_leader
2026-03-11 21:49:00,09:49:00 PM,"Bitcoin Up or Down - March 11, 9:45PM-9:50PM ET",Down,phantom-choppy,0.97,0.98,20,0.2,phantom-win,choppy
2026-03-11 21:54:28,09:54:28 PM,"Bitcoin Up or Down - March 11, 9:50PM-9:55PM ET",Down,phantom-choppy,0.95,0.94,21,-0.21,phantom-win,choppy
2026-03-11 21:58:35,09:58:35 PM,"Bitcoin Up or Down - March 11, 9:55PM-10:00PM ET",Down,real,0.73,0.27,27.0,-12.42,sl,
