timestamp_utc,est_hour,market,yes_bid_total,yes_ask_total,yes_bid_70plus,yes_best_bid,yes_best_ask,yes_spread,yes_bid_levels,yes_ask_levels,no_bid_total,no_ask_total,no_bid_70plus,no_best_bid,no_best_ask,no_spread,no_bid_levels,no_ask_levels,remaining_secs
2026-03-05 20:50:25,15:50,"Bitcoin Up or Down - March 5, 3:50PM-3:55PM ET",4254.34,46244.14,0.0,0.42,0.45,0.03,42,54,5050.37,47382.98,0.0,0.55,0.58,0.03,54,42,274
2026-03-05 20:51:25,15:51,"Bitcoin Up or Down - March 5, 3:50PM-3:55PM ET",1055.08,44337.32,0.0,0.12,0.13,0.01,12,87,12473.02,33004.11,5484.84,0.87,0.88,0.01,87,12,214
2026-03-05 20:52:25,15:52,"Bitcoin Up or Down - March 5, 3:50PM-3:55PM ET",730.4,54917.52,0.0,0.09,0.1,0.01,9,90,15329.69,29708.68,8571.27,0.9,0.91,0.01,90,9,154
2026-03-05 20:53:25,15:53,"Bitcoin Up or Down - March 5, 3:50PM-3:55PM ET",1955.85,49255.2,0.0,0.25,0.26,0.01,25,74,8033.89,29889.97,1263.03,0.74,0.75,0.01,74,25,94
2026-03-05 20:55:25,15:55,"Bitcoin Up or Down - March 5, 3:55PM-4:00PM ET",7179.33,46643.41,0.0,0.55,0.56,0.01,55,44,4291.67,49221.45,0.0,0.44,0.45,0.01,44,55,274
2026-03-05 20:56:25,15:56,"Bitcoin Up or Down - March 5, 3:55PM-4:00PM ET",9493.23,35358.22,0.0,0.66,0.68,0.02,66,32,1818.92,42523.47,0.0,0.32,0.33,0.01,32,67,214
2026-03-05 20:57:26,15:57,"Bitcoin Up or Down - March 5, 3:55PM-4:00PM ET",8289.75,35348.24,0.0,0.67,0.68,0.01,67,32,2045.57,41307.78,0.0,0.32,0.33,0.01,32,67,154
2026-03-05 20:58:26,15:58,"Bitcoin Up or Down - March 5, 3:55PM-4:00PM ET",11175.96,27870.7,5889.4,0.86,0.87,0.01,86,13,749.59,35428.41,0.0,0.13,0.14,0.01,13,86,93
2026-03-05 20:59:49,15:59:49,"Bitcoin Up or Down - March 5, 3:55PM-4:00PM ET",10,71237.86,6458.62,751.28,4734.34,0.98,0.99,0.01,91,1,7.59,24771.14,0.0,0.01,0.02,0.01,1,91
2026-03-05 20:59:59,15:59:59,"Bitcoin Up or Down - March 5, 3:55PM-4:00PM ET",0,71236.51,78882.03,0.0,75746.26,0.99,0.0,0.0,87,0,0.0,22383.57,0.0,0.0,0.01,0.0,0,87
2026-03-05 21:01:01,16:01:01,"Bitcoin Up or Down - March 5, 4:00PM-4:05PM ET",238,71260.05,7575.54,53163.41,0.0,0.58,0.59,0.01,58,41,4863.85,54364.62,0.0,0.41,0.42,0.01,41,58
2026-03-05 21:01:12,16:01:12,"Bitcoin Up or Down - March 5, 4:00PM-4:05PM ET",227,71287.01,8004.26,43810.92,0.0,0.66,0.67,0.01,66,33,2782.89,46682.0,0.0,0.33,0.34,0.01,33,66
2026-03-05 21:01:22,16:01:22,"Bitcoin Up or Down - March 5, 4:00PM-4:05PM ET",217,71316.73,10272.68,39470.36,2108.23,0.76,0.77,0.01,76,23,1668.62,43021.55,0.0,0.23,0.24,0.01,23,76
2026-03-05 21:01:33,16:01:33,"Bitcoin Up or Down - March 5, 4:00PM-4:05PM ET",206,71321.73,9970.24,41069.88,2594.87,0.79,0.8,0.01,79,19,2001.2,46592.97,0.0,0.2,0.21,0.01,19,79
2026-03-05 21:01:43,16:01:43,"Bitcoin Up or Down - March 5, 4:00PM-4:05PM ET",196,71293.35,10165.46,41521.49,2623.37,0.75,0.76,0.01,75,24,2033.01,47041.4,0.0,0.24,0.25,0.01,24,75
2026-03-05 21:01:53,16:01:53,"Bitcoin Up or Down - March 5, 4:00PM-4:05PM ET",186,71302.99,10357.91,41614.63,3304.86,0.75,0.76,0.01,75,24,1996.3,46575.71,0.0,0.24,0.25,0.01,24,75
2026-03-05 21:02:03,16:02:03,"Bitcoin Up or Down - March 5, 4:00PM-4:05PM ET",176,71275.01,7382.35,44276.68,0.0,0.66,0.68,0.02,66,32,3136.45,45418.56,0.0,0.32,0.34,0.02,32,66
