date,timestamp,trades,wins,losses,pnl,tp_hits,sl_hits,filtered_out,filtered_would_win,filtered_would_lose,choppy_would_win,choppy_would_lose,noleader_would_win,noleader_would_lose,hourly_pnl
2026-03-06,2026-03-06 19:00:00,41,36,5,50.71,33,4,83,63,20,30,22,9,5,"{'08:00': 5.399999999999999, '09:00': 17.189999999999994, '10:00': -20.0, '11:00': 4.679999999999998, '12:00': 6.619999999999995, '13:00': -10.120000000000001, '14:00': -1.8500000000000032, '15:00': -1.9900000000000064, '16:00': -5.740000000000004, '17:00': 14.319999999999993, '18:00': 8.969999999999997, '19:00': 13.689999999999994, '20:00': 7.1199999999999966, '21:00': 0.0, '22:00': 0.0, '23:00': 12.419999999999998}"
2026-03-07,2026-03-07 19:00:00,49,39,10,28.82,29,10,95,66,29,39,19,12,5,"{'05:00': 3.1199999999999974, '06:00': -3.5400000000000063, '07:00': 9.839999999999995, '08:00': 8.999999999999996, '09:00': 11.539999999999996, '10:00': 4.8299999999999965, '11:00': 6.549999999999997, '12:00': -12.149999999999999, '13:00': 7.949999999999999, '14:00': -7.959999999999999, '15:00': 7.290000000000001, '16:00': -16.29, '17:00': 17.579999999999995, '18:00': 8.34, '19:00': -9.09, '20:00': 14.580000000000002, '21:00': -0.8400000000000007, '22:00': -4.62, '23:00': -17.31}"
