date,timestamp,trades,wins,losses,pnl,tp_hits,sl_hits,time_stops,skipped_choppy,hourly_pnl
2026-03-06,2026-03-06 19:00:00,91,57,34,16.02,54,34,3,50,"{'08:00': -25.779999999999987, '09:00': 13.450000000000003, '10:00': 2.730000000000005, '11:00': 9.540000000000003, '12:00': 14.35, '13:00': -2.1199999999999957, '14:00': 6.820000000000004, '15:00': 7.720000000000005, '16:00': 14.590000000000003, '17:00': 0.7200000000000024, '18:00': -3.119999999999999, '19:00': -4.479999999999994, '20:00': -2.019999999999999, '21:00': 1.2000000000000046, '22:00': -20.269999999999996, '23:00': 2.690000000000003}"
2026-03-07,2026-03-07 19:00:00,96,50,46,-72.3,47,38,11,61,"{'05:00': 0.0, '06:00': -10.719999999999997, '07:00': 7.740000000000002, '08:00': -4.139999999999997, '09:00': 21.49, '10:00': 0.08000000000000362, '11:00': 1.4200000000000017, '12:00': -3.909999999999998, '13:00': 10.950000000000001, '14:00': -3.769999999999997, '15:00': -15.859999999999996, '16:00': -18.899999999999995, '17:00': -21.299999999999994, '18:00': 3.4900000000000007, '19:00': 0.9200000000000044, '20:00': -1.3999999999999968, '21:00': -1.199999999999994, '22:00': -27.08999999999999, '23:00': -10.099999999999996}"
